item_id,arm,model,intended_dc,measured_dc,correct,grade_method,char_len,digit_count,verbosity,n_distractors,family,group,log_len
SYN_0001,ollama3b,qwen2.5:3b,1,2,1,numeric,155,2,terse,0,t_descent,CHAIN,5.043425116919247
SYN_0002,ollama3b,qwen2.5:3b,1,2,1,numeric,155,2,terse,0,t_descent,CHAIN,5.043425116919247
SYN_0003,ollama3b,qwen2.5:3b,1,2,1,numeric,155,2,terse,0,t_descent,CHAIN,5.043425116919247
SYN_0004,ollama3b,qwen2.5:3b,1,2,1,numeric,155,2,terse,0,t_descent,CHAIN,5.043425116919247
SYN_0005,ollama3b,qwen2.5:3b,1,2,1,numeric,155,2,terse,0,t_descent,CHAIN,5.043425116919247
SYN_0006,ollama3b,qwen2.5:3b,1,2,1,numeric,156,3,terse,0,t_descent,CHAIN,5.049856007249537
SYN_0007,ollama3b,qwen2.5:3b,1,2,1,numeric,155,2,terse,0,t_descent,CHAIN,5.043425116919247
SYN_0008,ollama3b,qwen2.5:3b,1,2,1,numeric,155,2,terse,0,t_descent,CHAIN,5.043425116919247
SYN_0009,ollama3b,qwen2.5:3b,1,2,1,numeric,155,2,terse,0,t_descent,CHAIN,5.043425116919247
SYN_0010,ollama3b,qwen2.5:3b,1,2,1,numeric,156,3,terse,0,t_descent,CHAIN,5.049856007249537
SYN_0011,ollama3b,qwen2.5:3b,1,2,1,numeric,255,7,terse,2,t_descent,CHAIN,5.541263545158426
SYN_0012,ollama3b,qwen2.5:3b,1,2,1,numeric,259,9,terse,2,t_descent,CHAIN,5.556828061699537
SYN_0013,ollama3b,qwen2.5:3b,1,2,1,numeric,271,6,terse,2,t_descent,CHAIN,5.602118820879701
SYN_0014,ollama3b,qwen2.5:3b,1,2,1,numeric,270,6,terse,2,t_descent,CHAIN,5.598421958998375
SYN_0015,ollama3b,qwen2.5:3b,1,2,1,numeric,258,7,terse,2,t_descent,CHAIN,5.552959584921617
SYN_0016,ollama3b,qwen2.5:3b,1,2,1,numeric,271,5,terse,2,t_descent,CHAIN,5.602118820879701
SYN_0017,ollama3b,qwen2.5:3b,1,2,1,numeric,254,6,terse,2,t_descent,CHAIN,5.537334267018537
SYN_0018,ollama3b,qwen2.5:3b,1,2,1,numeric,252,6,terse,2,t_descent,CHAIN,5.529429087511423
SYN_0019,ollama3b,qwen2.5:3b,1,2,0,numeric,234,6,terse,2,t_descent,CHAIN,5.455321115357702
SYN_0020,ollama3b,qwen2.5:3b,1,2,1,numeric,260,8,terse,2,t_descent,CHAIN,5.560681631015528
SYN_0021,ollama3b,qwen2.5:3b,1,2,1,numeric,303,2,verbose,0,t_descent,CHAIN,5.713732805509369
SYN_0022,ollama3b,qwen2.5:3b,1,2,1,numeric,293,2,verbose,0,t_descent,CHAIN,5.680172609017068
SYN_0023,ollama3b,qwen2.5:3b,1,2,1,numeric,275,2,verbose,0,t_descent,CHAIN,5.616771097666572
SYN_0024,ollama3b,qwen2.5:3b,1,2,1,numeric,303,2,verbose,0,t_descent,CHAIN,5.713732805509369
