item_id,source_benchmark,topic,d_c,direct_correct,cot_correct,delta_cot,direct_tokens_out,cot_tokens_out
OlympiadBench_1006,OlympiadBench,Physics,1,0,0,0,10,355
OlympiadBench_1013,OlympiadBench,Physics,0,0,0,0,10,291
OlympiadBench_1014,OlympiadBench,Physics,1,0,0,0,10,677
OlympiadBench_1015,OlympiadBench,Physics,1,0,0,0,28,675
OlympiadBench_1016,OlympiadBench,Physics,0,0,0,0,11,420
OlympiadBench_1017,OlympiadBench,Physics,0,0,0,0,55,1024
OlympiadBench_1018,OlympiadBench,Physics,1,0,0,0,36,1024
OlympiadBench_1050,OlympiadBench,Physics,1,1,1,0,18,115
OlympiadBench_1051,OlympiadBench,Physics,1,0,0,0,26,248
OlympiadBench_1052,OlympiadBench,Physics,1,0,0,0,24,148
OlympiadBench_1053,OlympiadBench,Physics,1,0,0,0,43,165
OlympiadBench_1054,OlympiadBench,Physics,0,0,0,0,38,270
OlympiadBench_1060,OlympiadBench,Physics,0,0,1,1,9,438
OlympiadBench_1061,OlympiadBench,Physics,0,1,0,-1,62,627
OlympiadBench_1063,OlympiadBench,Physics,0,0,0,0,78,512
OlympiadBench_1064,OlympiadBench,Physics,0,0,0,0,60,264
OlympiadBench_1065,OlympiadBench,Physics,0,0,0,0,36,200
OlympiadBench_1066,OlympiadBench,Physics,0,0,0,0,30,323
OlympiadBench_1067,OlympiadBench,Physics,0,0,0,0,9,141
OlympiadBench_1068,OlympiadBench,Physics,1,1,1,0,21,421
OlympiadBench_1069,OlympiadBench,Physics,0,0,1,1,15,448
OlympiadBench_1070,OlympiadBench,Physics,1,0,1,1,30,401
OlympiadBench_1071,OlympiadBench,Physics,1,0,0,0,15,444
OlympiadBench_1072,OlympiadBench,Physics,1,1,1,0,38,337
OlympiadBench_1073,OlympiadBench,Physics,1,0,0,0,34,655
OlympiadBench_1097,OlympiadBench,Physics,4,0,0,0,23,1024
OlympiadBench_1098,OlympiadBench,Physics,1,0,0,0,20,1024
OlympiadBench_1099,OlympiadBench,Physics,1,0,0,0,21,766
OlympiadBench_1101,OlympiadBench,Physics,0,0,0,0,18,207
OlympiadBench_802,OlympiadBench,Physics,1,0,1,1,12,290
OlympiadBench_803,OlympiadBench,Physics,1,0,0,0,7,637
OlympiadBench_806,OlympiadBench,Physics,0,0,1,1,7,276
OlympiadBench_807,OlympiadBench,Physics,1,1,1,0,9,494
OlympiadBench_808,OlympiadBench,Physics,0,0,1,1,9,506
OlympiadBench_810,OlympiadBench,Physics,0,1,1,0,11,414
OlympiadBench_811,OlympiadBench,Physics,0,0,1,1,10,471
OlympiadBench_812,OlympiadBench,Physics,1,0,1,1,7,976
OlympiadBench_813,OlympiadBench,Physics,1,0,0,0,11,1024
OlympiadBench_814,OlympiadBench,Physics,0,1,1,0,7,151
OlympiadBench_816,OlympiadBench,Physics,0,0,0,0,10,126
OlympiadBench_817,OlympiadBench,Physics,1,0,1,1,11,750
OlympiadBench_819,OlympiadBench,Physics,2,0,1,1,10,203
OlympiadBench_821,OlympiadBench,Physics,2,0,1,1,10,465
OlympiadBench_823,OlympiadBench,Physics,2,1,0,-1,8,1024
OlympiadBench_826,OlympiadBench,Physics,1,0,0,0,10,926
OlympiadBench_828,OlympiadBench,Physics,1,0,0,0,11,498
OlympiadBench_835,OlympiadBench,Physics,2,0,0,0,10,1024
OlympiadBench_836,OlympiadBench,Physics,1,0,0,0,9,1024
OlympiadBench_837,OlympiadBench,Physics,0,0,0,0,7,692
OlympiadBench_840,OlympiadBench,Physics,1,0,1,1,8,782
OlympiadBench_842,OlympiadBench,Physics,1,0,0,0,10,453
OlympiadBench_844,OlympiadBench,Physics,0,0,0,0,7,394
OlympiadBench_847,OlympiadBench,Physics,0,0,0,0,7,1024
OlympiadBench_849,OlympiadBench,Physics,1,0,0,0,7,1024
OlympiadBench_851,OlympiadBench,Physics,0,0,1,1,7,434
OlympiadBench_853,OlympiadBench,Physics,1,0,0,0,9,328
OlympiadBench_856,OlympiadBench,Physics,0,0,0,0,7,1024
OlympiadBench_860,OlympiadBench,Physics,2,0,0,0,10,1024
OlympiadBench_861,OlympiadBench,Physics,1,0,0,0,10,451
OlympiadBench_863,OlympiadBench,Physics,2,0,1,1,10,453
OlympiadBench_865,OlympiadBench,Physics,1,0,0,0,15,834
OlympiadBench_866,OlympiadBench,Physics,1,0,0,0,23,769
OlympiadBench_868,OlympiadBench,Physics,0,0,0,0,10,441
OlympiadBench_869,OlympiadBench,Physics,0,0,1,1,23,608
OlympiadBench_870,OlympiadBench,Physics,0,0,0,0,7,943
OlympiadBench_871,OlympiadBench,Physics,0,0,0,0,10,1024
OlympiadBench_872,OlympiadBench,Physics,0,0,1,1,7,356
OlympiadBench_873,OlympiadBench,Physics,0,0,1,1,10,159
OlympiadBench_876,OlympiadBench,Physics,1,0,1,1,7,382
OlympiadBench_877,OlympiadBench,Physics,1,0,1,1,9,256
OlympiadBench_878,OlympiadBench,Physics,0,0,1,1,9,271
OlympiadBench_881,OlympiadBench,Physics,1,0,0,0,8,825
OlympiadBench_883,OlympiadBench,Physics,1,0,0,0,8,1024
OlympiadBench_884,OlympiadBench,Physics,1,0,1,1,12,349
OlympiadBench_885,OlympiadBench,Physics,2,0,0,0,8,685
OlympiadBench_888,OlympiadBench,Physics,1,0,0,0,9,547
OlympiadBench_890,OlympiadBench,Physics,0,0,0,0,8,470
OlympiadBench_891,OlympiadBench,Physics,1,0,0,0,10,636
OlympiadBench_893,OlympiadBench,Physics,1,0,0,0,8,845
OlympiadBench_894,OlympiadBench,Physics,1,0,0,0,16,1024
OlympiadBench_897,OlympiadBench,Physics,2,0,0,0,12,644
OlympiadBench_898,OlympiadBench,Physics,0,0,1,1,24,672
OlympiadBench_899,OlympiadBench,Physics,2,0,0,0,10,1024
OlympiadBench_900,OlympiadBench,Physics,0,0,0,0,9,1024
OlympiadBench_901,OlympiadBench,Physics,1,0,0,0,11,310
OlympiadBench_902,OlympiadBench,Physics,1,0,0,0,9,1024
OlympiadBench_903,OlympiadBench,Physics,0,1,1,0,7,550
OlympiadBench_905,OlympiadBench,Physics,1,0,1,1,11,382
OlympiadBench_907,OlympiadBench,Physics,0,0,0,0,10,1024
OlympiadBench_908,OlympiadBench,Physics,1,0,0,0,11,279
OlympiadBench_909,OlympiadBench,Physics,0,1,0,-1,7,1024
OlympiadBench_910,OlympiadBench,Physics,3,0,0,0,13,1024
OlympiadBench_911,OlympiadBench,Physics,0,1,0,-1,9,1024
OlympiadBench_912,OlympiadBench,Physics,1,0,0,0,8,1024
OlympiadBench_915,OlympiadBench,Physics,1,0,0,0,9,337
OlympiadBench_917,OlympiadBench,Physics,1,0,0,0,10,1024
OlympiadBench_918,OlympiadBench,Physics,0,0,0,0,23,1024
OlympiadBench_919,OlympiadBench,Physics,1,0,0,0,9,1024
OlympiadBench_922,OlympiadBench,Physics,1,0,0,0,11,1024
OlympiadBench_923,OlympiadBench,Physics,1,0,0,0,23,939
OlympiadBench_926,OlympiadBench,Physics,1,0,0,0,10,990
OlympiadBench_928,OlympiadBench,Physics,2,0,0,0,10,485
OlympiadBench_936,OlympiadBench,Physics,0,0,0,0,10,152
OlympiadBench_939,OlympiadBench,Physics,0,0,0,0,38,227
OlympiadBench_941,OlympiadBench,Physics,0,1,1,0,15,190
OlympiadBench_942,OlympiadBench,Physics,0,1,1,0,19,275
OlympiadBench_944,OlympiadBench,Physics,1,1,1,0,32,304
OlympiadBench_947,OlympiadBench,Physics,1,1,1,0,39,139
OlympiadBench_949,OlympiadBench,Physics,0,0,0,0,8,241
OlympiadBench_954,OlympiadBench,Physics,0,1,1,0,8,130
OlympiadBench_955,OlympiadBench,Physics,0,0,1,1,8,667
OlympiadBench_956,OlympiadBench,Physics,1,0,0,0,23,349
OlympiadBench_957,OlympiadBench,Physics,0,0,0,0,15,386
OlympiadBench_972,OlympiadBench,Physics,0,0,0,0,60,303
OlympiadBench_973,OlympiadBench,Physics,0,0,1,1,44,920
OlympiadBench_974,OlympiadBench,Physics,0,0,0,0,60,397
OlympiadBench_982,OlympiadBench,Physics,0,1,1,0,25,211
OlympiadBench_984,OlympiadBench,Physics,1,0,0,0,25,148
OlympiadBench_985,OlympiadBench,Physics,1,1,0,-1,21,194
OlympiadBench_986,OlympiadBench,Physics,0,0,0,0,61,180
OlympiadBench_987,OlympiadBench,Physics,2,0,1,1,71,652
OlympiadBench_988,OlympiadBench,Physics,1,0,1,1,53,365
OlympiadBench_989,OlympiadBench,Physics,1,0,0,0,21,242
PHYBench_10,PHYBench,ELECTRICITY,1,0,0,0,80,838
PHYBench_100,PHYBench,MECHANICS,1,0,0,0,20,1024
PHYBench_103,PHYBench,THERMODYNAMICS,1,0,0,0,13,609
PHYBench_105,PHYBench,ELECTRICITY,1,0,0,0,11,594
PHYBench_106,PHYBench,MECHANICS,1,0,0,0,18,904
PHYBench_110,PHYBench,MECHANICS,2,0,0,0,27,1024
