item_id,llm_dc,bench_dc,bench_families,llm_families
PhysReason_cal_problem_00012,2,2,energy|mass,energy|mass
PhysReason_cal_problem_00019,1,1,momentum,momentum
PhysReason_cal_problem_00027,2,2,energy|momentum,momentum|energy
PhysReason_cal_problem_00067,1,0,,momentum
PhysReason_cal_problem_00069,2,1,energy,energy
PhysReason_cal_problem_00078,1,1,momentum,momentum
PhysReason_cal_problem_00092,2,2,energy|momentum,momentum|energy
PhysReason_cal_problem_00099,0,0,,
PhysReason_cal_problem_00224,1,0,,
PhysReason_cal_problem_00230,2,0,,momentum
PhysReason_cal_problem_00252,0,0,,
PhysReason_cal_problem_00272,1,0,,
PhysReason_cal_problem_00273,0,0,,
PhysReason_cal_problem_00281,1,1,energy,energy
PhysReason_cal_problem_00291,2,0,,momentum
PhysReason_cal_problem_00325,1,1,energy,energy
PhysReason_cal_problem_00336,1,1,energy,energy
PhysReason_cal_problem_00340,1,0,,
PhysReason_cal_problem_00346,1,1,energy,energy
PhysReason_cal_problem_00365,0,0,,
PhysReason_cal_problem_00418,0,0,,
PhysReason_cal_problem_00419,0,0,,
PhysReason_cal_problem_00432,0,0,,
PhysReason_cal_problem_00486,1,1,energy,energy
PhysReason_cal_problem_00487,1,1,energy,energy
PhysReason_cal_problem_00502,1,1,energy,energy
PhysReason_cal_problem_00510,1,1,energy,energy
PhysReason_cal_problem_00513,1,0,,charge
PhysReason_cal_problem_00575,0,0,,energy
PhysReason_cal_problem_00577,1,0,,
PhysReason_cal_problem_00633,2,1,energy,momentum|energy
PhysReason_cal_problem_00634,2,0,,momentum|energy
PhysReason_cal_problem_00665,2,0,,momentum|energy
PhysReason_cal_problem_00669,1,0,,charge
PhysReason_cal_problem_00701,0,0,,
PhysReason_cal_problem_00736,0,0,,energy
PhysReason_cal_problem_00840,0,0,,
PhysReason_cal_problem_00880,1,1,energy,energy
PhysReason_cal_problem_00906,0,0,,
PhysReason_cal_problem_00915,0,0,,
PhysReason_cal_problem_00945,1,0,,energy
PhysReason_cal_problem_01031,2,1,energy,energy
PhysReason_cal_problem_01040,2,1,energy,momentum|energy
PhysReason_cal_problem_01098,0,0,,
PhysReason_cal_problem_01114,1,0,,momentum
PhysReason_cal_problem_01115,0,0,,momentum
PhysReason_cal_problem_01171,0,0,,
PhysReason_cal_problem_01184,0,0,,
PhysReason_cal_problem_01192,1,0,,momentum
PhysReason_cal_problem_01211,0,0,,
PhysReason_cal_problem_01276,0,0,,
PhysReason_cal_problem_01321,1,0,,momentum
PhysReason_cal_problem_01323,2,0,,momentum|energy
PhysReason_cal_problem_01329,0,0,,
PhysReason_cal_problem_01330,2,0,,momentum|energy
PhysReason_cal_problem_01343,1,1,energy,energy
PhysReason_cal_problem_01367,0,0,,
PhysReason_cal_problem_01375,0,0,,
PhysReason_cal_problem_01390,2,0,,momentum
PhysReason_cal_problem_01391,2,0,,momentum|energy
PhysReason_cal_problem_01443,1,0,,momentum
PhysReason_cal_problem_01469,0,0,,
PhysReason_cal_problem_01492,1,0,,energy
PhysReason_cal_problem_01497,2,1,energy,momentum|energy
PhysReason_cal_problem_01515,0,0,,
PhysReason_cal_problem_01541,1,0,,momentum
PhysReason_cal_problem_01555,2,1,energy,momentum|energy
PhysReason_cal_problem_01597,1,2,charge|energy,energy
PhysReason_comp_problem_102,1,1,angular_momentum,angular_momentum
PhysReason_comp_problem_4,0,0,,
PhysReason_comp_problem_81,1,1,energy,energy
PhysReason_comp_problem_82,1,0,,momentum
PhysReason_comp_problem_84,2,1,energy,momentum|energy
PhysReason_comp_problem_85,2,1,energy,energy
PhysReason_comp_problem_86,1,1,energy,energy
PhysReason_comp_problem_87,4,1,energy,momentum|energy
PhysReason_comp_problem_93,1,2,energy|entropy,energy
PhysReason_comp_problem_94,2,2,energy|entropy,energy|entropy
PhysReason_comp_problem_95,3,1,momentum,momentum|energy
PhysReason_comp_problem_96,1,1,energy,energy
PhysReason_comp_problem_99,3,2,angular_momentum|momentum,momentum|angular_momentum
