item_id,d_c,n_req_laws,req_laws,base_correct,laws_correct
PHYBench_600,0,0,,0,1
PHYBench_495,0,0,,1,0
PHYBench_83,0,0,,1,0
PHYBench_285,0,0,,1,0
PHYBench_321,1,0,,0,1
PHYBench_674,4,2,energy;momentum,0,0
PHYBench_41,1,0,,0,1
PHYBench_33,1,0,,0,0
PHYBench_54,1,0,,0,0
PHYBench_453,1,0,,1,0
PHYBench_281,0,0,,1,1
PHYBench_10,1,0,,0,0
PHYBench_134,0,0,,1,1
PHYBench_95,1,0,,0,0
PHYBench_101,5,1,angular_momentum,0,0
PHYBench_630,1,0,,0,0
PHYBench_650,2,0,,0,0
PHYBench_332,4,1,angular_momentum,0,0
PHYBench_250,1,0,,0,0
PHYBench_133,0,0,,0,0
PHYBench_409,1,0,,1,0
PHYBench_336,2,0,,0,0
PHYBench_88,2,0,,,
PHYBench_105,1,0,,0,0
PHYBench_702,0,0,,1,1
PHYBench_367,0,0,,0,0
PHYBench_617,2,3,angular_momentum;energy;momentum,0,0
PHYBench_497,1,0,,0,0
PHYBench_432,1,0,,0,0
PHYBench_39,1,0,,1,1
PHYBench_284,0,0,,1,0
PHYBench_124,1,0,,0,0
PHYBench_55,0,0,,0,1
PHYBench_457,2,1,momentum,0,0
PHYBench_419,0,0,,0,0
PHYBench_458,1,0,,1,1
PHYBench_206,0,0,,1,1
PHYBench_478,1,0,,0,0
PHYBench_204,0,0,,0,1
PHYBench_71,2,0,,0,0
PHYBench_259,0,0,,0,0
PHYBench_103,1,0,,0,0
PHYBench_766,2,0,,0,0
PHYBench_716,2,1,angular_momentum,0,0
PHYBench_310,3,1,energy,0,0
PHYBench_331,0,0,,0,0
PHYBench_112,2,0,,0,0
PHYBench_505,1,0,,0,0
PHYBench_110,2,0,,0,0
PHYBench_256,3,1,angular_momentum,0,0
PHYBench_737,3,2,angular_momentum;energy,0,0
PHYBench_420,1,0,,,0
PHYBench_498,0,0,,0,0
PHYBench_636,3,1,angular_momentum,0,0
PHYBench_228,3,0,,0,0
PHYBench_450,2,1,energy,0,0
PHYBench_708,0,0,,0,0
PHYBench_118,1,0,,0,0
PHYBench_688,3,1,angular_momentum,0,0
PHYBench_318,0,0,,0,1
PHYBench_143,0,0,,0,0
PHYBench_649,3,2,angular_momentum;energy,0,0
PHYBench_62,1,0,,1,1
PHYBench_443,0,0,,1,1
PHYBench_401,3,1,angular_momentum,0,0
PHYBench_493,2,0,,,0
PHYBench_115,1,0,,0,0
PHYBench_69,3,1,angular_momentum,,0
PHYBench_131,0,0,,1,1
PHYBench_709,1,0,,0,1
PHYBench_65,2,0,,0,0
PHYBench_50,1,1,energy,0,0
PHYBench_333,2,0,,0,0
PHYBench_36,2,0,,0,0
PHYBench_423,1,1,entropy,0,0
PHYBench_120,1,0,,0,0
PHYBench_603,0,0,,0,0
PHYBench_221,3,1,angular_momentum,0,0
PHYBench_121,0,0,,0,0
PHYBench_670,1,0,,1,1
PHYBench_648,3,2,angular_momentum;momentum,0,0
PHYBench_653,2,0,,0,1
PHYBench_72,1,1,energy,0,0
PHYBench_140,0,0,,0,0
PHYBench_106,1,1,energy,0,0
PHYBench_211,0,0,,0,0
PHYBench_719,1,0,,1,1
PHYBench_139,0,0,,0,0
PHYBench_58,0,0,,,0
PHYBench_412,0,0,,0,0
PHYBench_43,1,1,momentum,0,0
PHYBench_42,2,2,angular_momentum;energy,0,0
PHYBench_117,2,1,momentum,0,0
PHYBench_45,2,1,energy,0,1
PHYBench_37,3,0,,0,0
PHYBench_654,1,1,momentum,0,0
PHYBench_244,0,0,,1,1
PHYBench_100,1,0,,0,0
PHYBench_25,4,0,,0,0
OlympiadBench_802,1,1,momentum,1,1
PHYBench_89,2,1,angular_momentum,0,0
OlympiadBench_806,0,0,,1,1
OlympiadBench_807,1,0,,1,1
OlympiadBench_803,1,0,,0,0
OlympiadBench_808,0,0,,1,1
OlympiadBench_810,0,0,,0,0
OlympiadBench_811,0,0,,,0
OlympiadBench_816,0,0,,0,0
OlympiadBench_819,2,0,,1,1
OlympiadBench_813,1,1,energy,1,0
OlympiadBench_812,1,0,,1,1
OlympiadBench_814,0,0,,0,1
OlympiadBench_817,1,0,,1,1
OlympiadBench_821,2,1,momentum,1,1
OlympiadBench_828,1,1,energy,1,1
OlympiadBench_826,1,0,,0,0
OlympiadBench_823,2,0,,1,0
OlympiadBench_837,0,0,,0,0
OlympiadBench_840,1,1,energy,,0
OlympiadBench_836,1,0,,0,0
OlympiadBench_835,2,2,energy;momentum,0,0
OlympiadBench_842,1,0,,0,0
OlympiadBench_844,0,0,,0,0
OlympiadBench_851,0,1,momentum,1,1
OlympiadBench_853,1,1,energy,0,0
OlympiadBench_847,0,0,,0,0
OlympiadBench_849,1,0,,0,0
OlympiadBench_860,2,1,energy,0,0
OlympiadBench_863,2,1,momentum,1,1
OlympiadBench_856,0,0,,0,0
OlympiadBench_868,0,0,,0,0
OlympiadBench_861,1,1,energy,0,0
OlympiadBench_866,1,1,momentum,0,0
OlympiadBench_865,1,0,,0,0
OlympiadBench_869,0,0,,1,1
OlympiadBench_873,0,0,,1,1
OlympiadBench_872,0,0,,0,1
OlympiadBench_876,1,0,,1,1
OlympiadBench_877,1,0,,1,1
OlympiadBench_871,0,1,momentum,0,0
OlympiadBench_870,0,0,,0,0
OlympiadBench_878,0,0,,0,1
OlympiadBench_884,1,1,entropy,1,1
OlympiadBench_881,1,0,,1,1
OlympiadBench_888,1,0,,0,0
OlympiadBench_885,2,0,,0,0
OlympiadBench_883,1,0,,1,1
OlympiadBench_890,0,0,,0,0
OlympiadBench_891,1,0,,0,0
OlympiadBench_898,0,0,,1,1
OlympiadBench_897,2,0,,0,0
OlympiadBench_893,1,0,,0,0
OlympiadBench_894,1,0,,0,0
OlympiadBench_899,2,1,energy,0,0
OlympiadBench_901,1,0,,1,0
OlympiadBench_905,1,0,,1,1
OlympiadBench_900,0,0,,0,0
OlympiadBench_903,0,0,,1,1
OlympiadBench_908,1,0,,0,0
OlympiadBench_907,0,0,,1,0
OlympiadBench_902,1,0,,0,0
OlympiadBench_909,0,0,,0,0
OlympiadBench_910,3,1,angular_momentum,0,0
OlympiadBench_917,1,0,,0,0
OlympiadBench_911,0,0,,0,1
OlympiadBench_915,1,0,,0,0
OlympiadBench_912,1,0,,0,0
OlympiadBench_918,0,0,,0,0
OlympiadBench_919,1,0,,0,0
OlympiadBench_928,2,0,,0,0
OlympiadBench_926,1,0,,0,0
OlympiadBench_923,1,1,energy,0,0
OlympiadBench_936,0,0,,0,0
OlympiadBench_922,1,1,entropy,0,0
OlympiadBench_939,0,0,,0,0
OlympiadBench_941,0,0,,1,1
OlympiadBench_940,0,0,,,
OlympiadBench_929,1,0,,,0
OlympiadBench_947,1,0,,1,1
OlympiadBench_942,0,0,,1,1
OlympiadBench_944,1,0,,1,1
OlympiadBench_954,0,0,,0,1
OlympiadBench_949,0,0,,0,0
OlympiadBench_957,0,0,,0,0
OlympiadBench_972,0,0,,0,0
OlympiadBench_955,0,0,,1,1
OlympiadBench_974,0,0,,0,0
OlympiadBench_956,1,0,,0,0
OlympiadBench_973,0,0,,0,1
OlympiadBench_982,0,0,,1,1
OlympiadBench_984,1,0,,0,0
OlympiadBench_986,0,0,,0,0
OlympiadBench_987,2,0,,1,1
OlympiadBench_985,1,0,,0,0
OlympiadBench_988,1,0,,0,0
OlympiadBench_989,1,0,,0,0
OlympiadBench_1006,1,0,,0,0
OlympiadBench_1013,0,0,,0,0
OlympiadBench_1016,0,0,,0,0
OlympiadBench_1012,0,0,,0,0
OlympiadBench_1015,1,0,,0,0
OlympiadBench_1014,1,0,,0,0
OlympiadBench_1052,1,0,,0,0
OlympiadBench_1051,1,0,,0,
OlympiadBench_1050,1,0,,1,1
OlympiadBench_1017,0,0,,0,0
OlympiadBench_1053,1,0,,1,0
OlympiadBench_1054,0,0,,0,0
OlympiadBench_1018,1,0,,0,0
OlympiadBench_1061,0,0,,1,1
OlympiadBench_1060,0,0,,1,1
OlympiadBench_1062,0,0,,0,
OlympiadBench_1064,0,0,,0,0
OlympiadBench_1065,0,0,,0,0
OlympiadBench_1063,0,0,,,0
OlympiadBench_1067,0,0,,0,0
OlympiadBench_1068,1,0,,1,1
OlympiadBench_1066,0,0,,0,0
OlympiadBench_1069,0,0,,0,1
OlympiadBench_1070,1,0,,1,1
OlympiadBench_1071,1,0,,0,0
OlympiadBench_1072,1,0,,1,1
OlympiadBench_1073,1,0,,0,0
OlympiadBench_1101,0,0,,0,0
OlympiadBench_1097,4,0,,0,0
OlympiadBench_1099,1,1,momentum,0,0
PhysReason_cal_problem_00224,1,0,,1,1
PhysReason_cal_problem_00252,0,0,,1,0
OlympiadBench_1098,1,1,energy,0,0
PhysReason_cal_problem_00069,2,1,energy,0,0
PhysReason_cal_problem_00273,0,0,,0,0
PhysReason_cal_problem_00272,1,0,,0,0
PhysReason_cal_problem_00365,0,0,,1,0
PhysReason_cal_problem_00340,1,0,,0,0
PhysReason_cal_problem_00419,0,0,,1,1
PhysReason_cal_problem_00418,0,0,,0,1
PhysReason_cal_problem_00346,1,1,energy,0,0
PhysReason_cal_problem_00432,0,0,,1,1
PhysReason_cal_problem_00575,0,0,,0,1
PhysReason_cal_problem_00577,1,0,,1,1
PhysReason_cal_problem_00665,2,0,,0,0
PhysReason_cal_problem_00736,0,0,,0,0
PhysReason_cal_problem_00906,0,0,,1,1
PhysReason_cal_problem_00840,0,0,,0,1
PhysReason_cal_problem_00915,0,0,,1,0
PhysReason_cal_problem_00701,0,0,,0,0
PhysReason_cal_problem_00945,1,0,,0,0
PhysReason_cal_problem_01115,0,0,,1,1
PhysReason_cal_problem_01211,0,0,,1,1
PhysReason_cal_problem_01276,0,0,,1,1
PhysReason_cal_problem_01375,0,0,,0,0
PhysReason_cal_problem_01390,2,0,,0,0
PhysReason_cal_problem_01515,0,0,,1,0
PhysReason_cal_problem_01098,0,1,momentum,0,0
PhysReason_cal_problem_01469,0,0,,0,0
PhysReason_cal_problem_01184,0,1,momentum,0,0
PhysReason_comp_problem_4,0,0,,0,0
PhysReason_comp_problem_95,3,1,momentum,0,0
