item_id,family,mechanism,d_c,n_bodies,question_chars,matched_group,answer_exact,answer_float,answer_units,pred_raw,is_correct,solve_error
SYN_coll_000_dc1,collision_chain,momentum,1,2,264,coll_000,1,1.0,m/s,1.0,1,
SYN_coll_000_dc2,collision_chain,momentum+energy,2,2,268,coll_000,2,2.0,m/s,2,1,
SYN_coll_000_dc3,collision_chain,momentum+energy+energy(rise),3,2,320,coll_000,1/5,0.2,m,0.2,1,
SYN_coll_001_dc1,collision_chain,momentum,1,2,264,coll_001,5/4,1.25,m/s,1.25,1,
SYN_coll_001_dc2,collision_chain,momentum+energy,2,2,268,coll_001,5/2,2.5,m/s,2.5,1,
SYN_coll_001_dc3,collision_chain,momentum+energy+energy(rise),3,2,320,coll_001,5/16,0.3125,m,0.3125,1,
SYN_coll_002_dc1,collision_chain,momentum,1,2,264,coll_002,7/5,1.4,m/s,1.4,1,
SYN_coll_002_dc2,collision_chain,momentum+energy,2,2,268,coll_002,14/5,2.8,m/s,2.8,1,
SYN_coll_002_dc3,collision_chain,momentum+energy+energy(rise),3,2,320,coll_002,49/125,0.392,m,0.392,1,
SYN_coll_003_dc1,collision_chain,momentum,1,2,264,coll_003,3/2,1.5,m/s,1.5,1,
SYN_coll_003_dc2,collision_chain,momentum+energy,2,2,268,coll_003,3,3.0,m/s,3.0,1,
SYN_coll_003_dc3,collision_chain,momentum+energy+energy(rise),3,2,320,coll_003,9/20,0.45,m,0.45,1,
SYN_coll_004_dc1,collision_chain,momentum,1,2,265,coll_004,11/7,1.571429,m/s,1.5714285714285714,1,
SYN_coll_004_dc2,collision_chain,momentum+energy,2,2,269,coll_004,22/7,3.142857,m/s,3.142857142857143,1,
SYN_coll_004_dc3,collision_chain,momentum+energy+energy(rise),3,2,321,coll_004,121/245,0.493878,m,0.49387755102040815,1,
SYN_coll_005_dc1,collision_chain,momentum,1,2,264,coll_005,1/3,0.333333,m/s,0.3333333333333333,1,
SYN_coll_005_dc2,collision_chain,momentum+energy,2,2,268,coll_005,2/3,0.666667,m/s,0.6666666666666666,1,
SYN_coll_005_dc3,collision_chain,momentum+energy+energy(rise),3,2,320,coll_005,1/45,0.022222,m,0.022222222222222223,1,
SYN_coll_006_dc1,collision_chain,momentum,1,2,264,coll_006,1/2,0.5,m/s,0.5,1,
SYN_coll_006_dc2,collision_chain,momentum+energy,2,2,268,coll_006,1,1.0,m/s,1,1,
SYN_coll_006_dc3,collision_chain,momentum+energy+energy(rise),3,2,320,coll_006,1/20,0.05,m,0.05,1,
SYN_coll_007_dc1,collision_chain,momentum,1,2,264,coll_007,14/3,4.666667,m/s,4.666666666666667,1,
SYN_coll_007_dc2,collision_chain,momentum+energy,2,2,268,coll_007,28/3,9.333333,m/s,9.333333333333334,1,
SYN_coll_007_dc3,collision_chain,momentum+energy+energy(rise),3,2,320,coll_007,196/45,4.355556,m,4.355555555555556,1,
SYN_coll_008_dc1,collision_chain,momentum,1,2,264,coll_008,18/5,3.6,m/s,3.6,1,
SYN_coll_008_dc2,collision_chain,momentum+energy,2,2,268,coll_008,36/5,7.2,m/s,7.2,1,
SYN_coll_008_dc3,collision_chain,momentum+energy+energy(rise),3,2,320,coll_008,324/125,2.592,m,2.592,1,
SYN_coll_009_dc1,collision_chain,momentum,1,2,265,coll_009,11/3,3.666667,m/s,3.6666666666666665,1,
SYN_coll_009_dc2,collision_chain,momentum+energy,2,2,269,coll_009,22/3,7.333333,m/s,7.333333333333333,1,
SYN_coll_009_dc3,collision_chain,momentum+energy+energy(rise),3,2,321,coll_009,121/45,2.688889,m,2.688888888888889,1,
SYN_coll_010_dc1,collision_chain,momentum,1,2,264,coll_010,3/4,0.75,m/s,0.75,1,
SYN_coll_010_dc2,collision_chain,momentum+energy,2,2,268,coll_010,3/2,1.5,m/s,1.5,1,
SYN_coll_010_dc3,collision_chain,momentum+energy+energy(rise),3,2,320,coll_010,9/80,0.1125,m,0.1125,1,
SYN_coll_011_dc1,collision_chain,momentum,1,2,264,coll_011,10/9,1.111111,m/s,1.1111111111111112,1,
SYN_coll_011_dc2,collision_chain,momentum+energy,2,2,268,coll_011,20/9,2.222222,m/s,2.2222222222222223,1,
SYN_coll_011_dc3,collision_chain,momentum+energy+energy(rise),3,2,320,coll_011,20/81,0.246914,m,0.24691358024691357,1,
SYN_coll_012_dc1,collision_chain,momentum,1,2,264,coll_012,7/5,1.4,m/s,1.4,1,
SYN_coll_012_dc2,collision_chain,momentum+energy,2,2,268,coll_012,14/5,2.8,m/s,2.8,1,
SYN_coll_012_dc3,collision_chain,momentum+energy+energy(rise),3,2,320,coll_012,49/125,0.392,m,0.392,1,
SYN_coll_013_dc1,collision_chain,momentum,1,2,264,coll_013,18/11,1.636364,m/s,1.6363636363636365,1,
SYN_coll_013_dc2,collision_chain,momentum+energy,2,2,268,coll_013,36/11,3.272727,m/s,3.272727272727273,1,
SYN_coll_013_dc3,collision_chain,momentum+energy+energy(rise),3,2,320,coll_013,324/605,0.535537,m,0.5355371900826447,1,
SYN_coll_014_dc1,collision_chain,momentum,1,2,265,coll_014,33/4,8.25,m/s,8.25,1,
SYN_coll_014_dc2,collision_chain,momentum+energy,2,2,269,coll_014,33/2,16.5,m/s,16.5,1,
SYN_coll_014_dc3,collision_chain,momentum+energy+energy(rise),3,2,321,coll_014,1089/80,13.6125,m,13.6125,1,
SYN_coll_015_dc1,collision_chain,momentum,1,2,264,coll_015,9/7,1.285714,m/s,1.2857142857142858,1,
SYN_coll_015_dc2,collision_chain,momentum+energy,2,2,268,coll_015,18/7,2.571429,m/s,2.5714285714285716,1,
SYN_coll_015_dc3,collision_chain,momentum+energy+energy(rise),3,2,320,coll_015,81/245,0.330612,m,0.3306122448979592,1,
SYN_coll_016_dc1,collision_chain,momentum,1,2,264,coll_016,15/8,1.875,m/s,1.875,1,
SYN_coll_016_dc2,collision_chain,momentum+energy,2,2,268,coll_016,15/4,3.75,m/s,3.75,1,
SYN_coll_016_dc3,collision_chain,momentum+energy+energy(rise),3,2,320,coll_016,45/64,0.703125,m,0.703125,1,
SYN_coll_017_dc1,collision_chain,momentum,1,2,264,coll_017,7/3,2.333333,m/s,2.3333333333333335,1,
SYN_coll_017_dc2,collision_chain,momentum+energy,2,2,268,coll_017,14/3,4.666667,m/s,4.666666666666667,1,
SYN_coll_017_dc3,collision_chain,momentum+energy+energy(rise),3,2,320,coll_017,49/45,1.088889,m,1.0888888888888888,1,
SYN_casc_000_k1,elastic_cascade,1x(momentum+energy),2,2,333,casc_000,,5.714286,m/s,5.714285714285714,1,
SYN_casc_000_k2,elastic_cascade,2x(momentum+energy),4,3,440,casc_000,,4.897959,m/s,4.8979591836734695,1,
SYN_casc_000_k3,elastic_cascade,3x(momentum+energy),6,4,547,casc_000,,3.731778,m/s,3.7317784256559765,1,
SYN_casc_001_k1,elastic_cascade,1x(momentum+energy),2,2,334,casc_001,,17.142857,m/s,17.142857142857142,1,
SYN_casc_001_k2,elastic_cascade,2x(momentum+energy),4,3,441,casc_001,,14.693878,m/s,14.693877551020408,1,
SYN_casc_001_k3,elastic_cascade,3x(momentum+energy),6,4,548,casc_001,,11.195335,m/s,11.19533527696793,1,
SYN_casc_002_k1,elastic_cascade,1x(momentum+energy),2,2,333,casc_002,,13.846154,m/s,13.846153846153845,1,
SYN_casc_002_k2,elastic_cascade,2x(momentum+energy),4,3,440,casc_002,,11.868132,m/s,11.868131868131869,1,
SYN_casc_002_k3,elastic_cascade,3x(momentum+energy),6,4,547,casc_002,,9.042386,m/s,9.042386185243327,1,
SYN_casc_003_k1,elastic_cascade,1x(momentum+energy),2,2,333,casc_003,,9.677419,m/s,9.67741935483871,1,
SYN_casc_003_k2,elastic_cascade,2x(momentum+energy),4,3,440,casc_003,,8.294931,m/s,8.294930875576037,1,
SYN_casc_003_k3,elastic_cascade,3x(momentum+energy),6,4,547,casc_003,,6.319947,m/s,6.319947333772219,1,
SYN_casc_004_k1,elastic_cascade,1x(momentum+energy),2,2,333,casc_004,,5.217391,m/s,5.217391304347826,1,
SYN_casc_004_k2,elastic_cascade,2x(momentum+energy),4,3,440,casc_004,,3.975155,m/s,3.975155279503105,1,
SYN_casc_004_k3,elastic_cascade,3x(momentum+energy),6,4,547,casc_004,,3.445135,m/s,3.4451345755693574,1,
SYN_casc_005_k1,elastic_cascade,1x(momentum+energy),2,2,334,casc_005,,15.652174,m/s,15.652173913043478,1,
SYN_casc_005_k2,elastic_cascade,2x(momentum+energy),4,3,441,casc_005,,11.925466,m/s,11.925465838509316,1,
SYN_casc_005_k3,elastic_cascade,3x(momentum+energy),6,4,548,casc_005,,10.335404,m/s,10.335403726708075,1,
SYN_casc_006_k1,elastic_cascade,1x(momentum+energy),2,2,333,casc_006,,12.857143,m/s,12.857142857142858,1,
SYN_casc_006_k2,elastic_cascade,2x(momentum+energy),4,3,440,casc_006,,9.795918,m/s,9.795918367346939,1,
SYN_casc_006_k3,elastic_cascade,3x(momentum+energy),6,4,547,casc_006,,8.489796,m/s,8.489795918367347,1,
SYN_casc_007_k1,elastic_cascade,1x(momentum+energy),2,2,333,casc_007,,9.090909,m/s,9.090909090909092,1,
SYN_casc_007_k2,elastic_cascade,2x(momentum+energy),4,3,440,casc_007,,6.926407,m/s,6.926406926406926,1,
SYN_casc_007_k3,elastic_cascade,3x(momentum+energy),6,4,547,casc_007,,6.002886,m/s,6.002886002886003,1,
SYN_casc_008_k1,elastic_cascade,1x(momentum+energy),2,2,333,casc_008,,4.285714,m/s,4.285714285714286,1,
SYN_casc_008_k2,elastic_cascade,2x(momentum+energy),4,3,440,casc_008,,3.714286,m/s,3.714285714285714,1,
SYN_casc_008_k3,elastic_cascade,3x(momentum+energy),6,4,547,casc_008,,3.080139,m/s,3.080139372822299,1,
SYN_casc_009_k1,elastic_cascade,1x(momentum+energy),2,2,334,casc_009,,12.857143,m/s,12.857142857142858,1,
SYN_casc_009_k2,elastic_cascade,2x(momentum+energy),4,3,441,casc_009,,11.142857,m/s,11.142857142857142,1,
SYN_casc_009_k3,elastic_cascade,3x(momentum+energy),6,4,548,casc_009,,9.240418,m/s,9.240418118466899,1,
SYN_casc_010_k1,elastic_cascade,1x(momentum+energy),2,2,333,casc_010,,10.909091,m/s,10.90909090909091,1,
SYN_casc_010_k2,elastic_cascade,2x(momentum+energy),4,3,440,casc_010,,9.454545,m/s,9.454545454545455,1,
SYN_casc_010_k3,elastic_cascade,3x(momentum+energy),6,4,547,casc_010,,7.840355,m/s,7.840354767184035,1,
SYN_casc_011_k1,elastic_cascade,1x(momentum+energy),2,2,333,casc_011,,7.894737,m/s,7.894736842105264,1,
SYN_casc_011_k2,elastic_cascade,2x(momentum+energy),4,3,440,casc_011,,6.842105,m/s,6.842105263157895,1,
SYN_casc_011_k3,elastic_cascade,3x(momentum+energy),6,4,547,casc_011,,5.673941,m/s,5.673940949935815,1,
SYN_casc_012_k1,elastic_cascade,1x(momentum+energy),2,2,333,casc_012,,3.75,m/s,3.75,1,
SYN_casc_012_k2,elastic_cascade,2x(momentum+energy),4,3,440,casc_012,,3.109756,m/s,3.1097560975609757,1,
SYN_casc_012_k3,elastic_cascade,3x(momentum+energy),6,4,547,casc_012,,2.816383,m/s,2.8163828807178093,1,
SYN_casc_013_k1,elastic_cascade,1x(momentum+energy),2,2,334,casc_013,,11.25,m/s,11.25,1,
SYN_casc_013_k2,elastic_cascade,2x(momentum+energy),4,3,441,casc_013,,9.329268,m/s,9.329268292682928,1,
SYN_casc_013_k3,elastic_cascade,3x(momentum+energy),6,4,548,casc_013,,8.449149,m/s,8.449148642440537,1,
SYN_casc_014_k1,elastic_cascade,1x(momentum+energy),2,2,333,casc_014,,9.72973,m/s,9.72972972972973,1,
SYN_casc_014_k2,elastic_cascade,2x(momentum+energy),4,3,440,casc_014,,8.068556,m/s,8.068556361239288,1,
SYN_casc_014_k3,elastic_cascade,3x(momentum+energy),6,4,547,casc_014,,7.307372,m/s,7.307371798858223,1,
SYN_casc_015_k1,elastic_cascade,1x(momentum+energy),2,2,333,casc_015,,7.142857,m/s,7.142857142857143,1,
SYN_casc_015_k2,elastic_cascade,2x(momentum+energy),4,3,440,casc_015,,5.923345,m/s,5.923344947735192,1,
SYN_casc_015_k3,elastic_cascade,3x(momentum+energy),6,4,547,casc_015,,5.364539,m/s,5.364538820590362,1,
SYN_casc_016_k1,elastic_cascade,1x(momentum+energy),2,2,333,casc_016,,3.076923,m/s,3.076923076923077,1,
SYN_casc_016_k2,elastic_cascade,2x(momentum+energy),4,3,440,casc_016,,2.786647,m/s,2.786647314949202,1,
SYN_casc_016_k3,elastic_cascade,3x(momentum+energy),6,4,547,casc_016,,2.606864,m/s,2.6068636172105437,1,
SYN_casc_017_k1,elastic_cascade,1x(momentum+energy),2,2,334,casc_017,,9.230769,m/s,9.230769230769232,1,
SYN_casc_017_k2,elastic_cascade,2x(momentum+energy),4,3,441,casc_017,,8.359942,m/s,8.359941944847607,1,
SYN_casc_017_k3,elastic_cascade,3x(momentum+energy),6,4,548,casc_017,,7.820591,m/s,7.820590851632985,1,
